save_number,datetime,branch,commit_hash,changes_summary
1,2026-04-15 00:00,main,2adca7b,feat: UX redesign + parallel streaming + adaptive prompts + Mind rename
2,2026-04-15 00:00,main,e29ef82,fix: sidebar + right panel font sizes; fix CSS layer so Tailwind text utilities apply; fix scroll lock during streaming
3,2026-04-17 00:00,feature/claude-design-ux,8dda752,feat: Orchestra landing page — animated hero card + modes + proof + pricing; updated Google Fonts import; .landing-u underline animation
4,2026-04-17 00:00,feature/claude-design-ux,afb38ab,feat: app pages UX redesign — workspace home + stream lanes + settings board layout; design tokens in globals.css
5,2026-04-17 00:00,feature/claude-design-ux,f1c8779,fix: workspace idle — bolder borders + solid mode fill + scroll fix; dev server port → 3040
6,2026-04-17 00:00,feature/claude-design-ux,1524fc0,fix: workspace idle content centering — maxWidth 780 wrapper with mx-auto; PROGRESS_TRACKER + HANDOFF updated
7,2026-04-28 00:00,feature/claude-design-ux,9e632b0,feat: slow-bot timeout UX — per-model wait timers + skip mechanic + scroll fix + auth-chrome landing fix
8,2026-05-03 00:00,feature/claude-design-ux,69cfac4,feat: chain mode — sequential review orchestration with complexity-aware prompts + 3-way mode toggle
9,2026-05-18 00:00,feature/claude-design-ux,cfd72c4,fix: scroll lock during streaming + Gemini cutoff on Vercel (maxDuration 300)
10,2026-07-15 10:20,sandbox/latest-models-refresh,ebf93cf,feat: latest models refresh (19 verified OpenRouter IDs + 4 tiers) + Pro/Regular reasoning-effort toggle + web-search :online toggle
10,2026-07-15 12:35,main,ceafeec,feat: latest models refresh (19 verified OpenRouter IDs + 4 tiers) + Pro/Regular reasoning-effort toggle + web-search :online toggle — merged from sandbox/latest-models-refresh
11,2026-08-05 11:15,main,c5a643c,fix: preserve partial bot results on chain crash + mobile responsive layout (globals.css + page.tsx + workspace/page.tsx + orchestrator-stream.ts)
12,2026-08-05 11:50,main,0c079f8,fix: streamBlocks visible after error + scroll-up during streaming + Vercel rootDirectory + vercel.json
